Approach,Size,Difficulty,TimeStep,NumChanges,AdaptTime,SuccessRate,AvgPathLength
fedAsynQ_EqAvg,50,Hard,2,2,0.0137323,0.992213,9.36494
fedAsynQ_EqAvg,50,Hard,3,1,0.0107821,0.992862,9.36863
fedAsynQ_EqAvg,50,Hard,4,1,0.00264999,0.990266,9.37942
fedAsynQ_EqAvg,50,Hard,5,1,0.223449,0.990266,9.39318
fedAsynQ_EqAvg,50,Hard,6,1,0.0480931,0.990266,9.39646
fedAsynQ_EqAvg,50,Hard,7,1,0.0055237,0.990266,9.39646
fedAsynQ_EqAvg,50,Hard,8,4,0.360566,0.988319,9.37426
fedAsynQ_EqAvg,50,Hard,9,1,0.19914,0.988319,9.37886
fedAsynQ_EqAvg,50,Hard,10,1,0.00260872,0.988319,9.38083
fedAsynQ_EqAvg,50,Hard,11,1,0.00899816,0.988319,9.38805
fedAsynQ_EqAvg,50,Hard,12,1,0.00900627,0.988319,9.38871
fedAsynQ_EqAvg,50,Hard,13,1,0.222827,0.988319,9.39987
fedAsynQ_EqAvg,50,Hard,14,1,0.216883,0.988319,9.39987
fedAsynQ_EqAvg,50,Hard,15,1,0.233659,0.988319,9.37689
fedAsynQ_EqAvg,50,Hard,16,2,0.0070175,0.988319,9.3782
fedAsynQ_EqAvg,50,Hard,17,1,0.0127252,0.98767,9.37911
fedAsynQ_EqAvg,50,Hard,18,1,0.0030288,0.98767,9.37911
