Approach,Size,Difficulty,Changes,InitialTime,AdaptTime,SuccessRate,AvgPathLength
A* Oracle,200,Medium,10,3.81552,3.8221,0.99972,4.55015
A* Static,200,Medium,0,3.81776,0,0.99972,4.54819
A* Static,200,Medium,1,3.81776,0.0220472,0.999685,4.5481
A* Static,200,Medium,2,3.81776,0.0220274,0.9993,4.54845
A* Static,200,Medium,3,3.81776,0.0218805,0.999405,4.54832
A* Static,200,Medium,4,3.81776,0.0217568,0.99923,4.54786
A* Static,200,Medium,5,3.81776,0.0219741,0.999335,4.54826
A* Static,200,Medium,10,3.81776,0.0227208,0.998214,4.54666
Local,200,Medium,0,136.227,0,0.99219,4.65644
Local,200,Medium,1,136.227,0.312896,0.99219,4.65676
Local,200,Medium,2,136.227,0.390156,0.99219,4.65619
Local,200,Medium,3,136.227,0.657184,0.99219,4.6539
Local,200,Medium,4,136.227,1.2218,0.992225,4.65349
Local,200,Medium,5,136.227,1.94194,0.992225,4.65049
Local,200,Medium,10,136.227,2.8725,0.99226,4.65032
Hierarchy,200,Medium,0,177.067,0,0.994396,4.64174
Hierarchy,200,Medium,1,177.067,0.458017,0.994396,4.64076
Hierarchy,200,Medium,2,177.067,0.849738,0.994396,4.63942
Hierarchy,200,Medium,3,177.067,2.0743,0.994431,4.63887
Hierarchy,200,Medium,4,177.067,2.66859,0.994431,4.63517
Hierarchy,200,Medium,5,177.067,4.26679,0.994431,4.63256
Hierarchy,200,Medium,10,177.067,7.25362,0.994536,4.62739
A* Oracle,200,Hard,0,5.0891,0,0.997153,7.00736
A* Oracle,200,Hard,1,5.0891,5.08898,0.997153,7.00736
A* Oracle,200,Hard,2,5.0891,5.08704,0.997153,7.00745
A* Oracle,200,Hard,3,5.0891,5.07351,0.997153,6.99491
A* Oracle,200,Hard,4,5.0891,5.0819,0.997153,7.0072
A* Oracle,200,Hard,5,5.0891,5.11002,0.997153,7.0077
A* Oracle,200,Hard,10,5.0891,5.20469,0.997153,7.00666
A* Static,200,Hard,0,5.28576,0,0.997153,7.00736
A* Static,200,Hard,1,5.28576,0.0175387,0.99703,7.00778
A* Static,200,Hard,2,5.28576,0.0179473,0.9967,7.0053
A* Static,200,Hard,3,5.28576,0.0174288,0.996865,7.0065
A* Static,200,Hard,4,5.28576,0.0168279,0.996658,7.00712
A* Static,200,Hard,5,5.28576,0.017504,0.996617,7.00683
A* Static,200,Hard,10,5.28576,0.0176009,0.994802,7.00398
Local,200,Hard,0,202.627,0,0.9816,7.16442
Local,200,Hard,1,202.627,0.255088,0.9816,7.16425
Local,200,Hard,2,202.627,1.76815,0.981559,7.16493
Local,200,Hard,3,202.627,0.80632,0.9816,7.15698
Local,200,Hard,4,202.627,2.03989,0.9816,7.16261
Local,200,Hard,5,202.627,1.94722,0.981682,7.16062
Local,200,Hard,10,202.627,4.84195,0.981682,7.16008
Hierarchy,200,Hard,0,276.559,0,0.986551,7.13139
Hierarchy,200,Hard,1,276.559,0.695297,0.986551,7.12955
Hierarchy,200,Hard,2,276.559,2.95014,0.986551,7.12642
Hierarchy,200,Hard,3,276.559,1.99704,0.986674,7.11637
